Company,Video_URL,Description,Industry,Market_Segment,Email,Website,Booth,Company_URL
The HGHLT,https://youtu.be/u655BO-eO4Y,The HGHLT is a Retail Tech and Shoppertainment solution which allows customer to shop in real time or while watching their favorite shows.,"North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map",https://thehghlt.com/,Booth:60,https://create-x.gatech.edu/node/3602
V-TryOn by fitneith,https://youtu.be/IHxvPqZPS-U,"Transform your online shopping with our AI-powered virtual try-on, delivering hyper-realistic fits and sizes instantly.","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map",https://fitneith.net,Booth:61,https://create-x.gatech.edu/node/3603
AENEA AI,https://youtu.be/G5fnH3TuBkk,Medical Document Automation for Small and Medium Size Clinics,"North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map",https://aenea.io,Booth:62,https://create-x.gatech.edu/node/3604
Rembrance,https://youtu.be/BWY4tueEiko,Your gateway to personalized learning with conversational AI tutors.,"North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map",https://rembrance.co,Booth:63,https://create-x.gatech.edu/node/3605
FashAI,https://youtu.be/Gy3j_Iesv2Y,FashAI is an Ai fashion companion that makes outfit picking easy.,"North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map",https://fashai.framer.website/,Booth:64,https://create-x.gatech.edu/node/3606
Searchify AI,https://youtu.be/cfcvINlQ4gI,AI Search for University Websites.,"North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map",https://searchifyai.com,Booth:65,https://create-x.gatech.edu/node/3607
"Stride Laboratories, Inc.",https://youtu.be/5a2y5XdWzYQ,AI engineering design automation for custom medical braces.,"North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map",https://www.stride-labs.com,Booth:66,https://create-x.gatech.edu/node/3608
"PrezentPerfect, LLC",https://youtu.be/y5tG6n4o2zM,PrezentPerfect: Transforming your presentations with AI-powered skill enhancement,"North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map",https://www.prezentperfect.com,Booth:67,https://create-x.gatech.edu/node/3609
"VigilTech, Inc.",https://youtu.be/cYrKtALvAiQ,Pioneering Bodycam Analysis,"North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map",https://vigilai.co/,Booth:68,https://create-x.gatech.edu/node/3610
"Zoomr, Inc",https://youtu.be/LFyC0IbJz68,"AI career conversations that connect students with employers, 24/7.","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map",https://zoomr.ai,Booth:69,https://create-x.gatech.edu/node/3611
TheraTrack,https://youtu.be/XXqGyD6RvDI,"TheraTrack is a platform to connect physical therapists to remote patients. Our biometric tracker provides interactive, replayable 3D views of the patient’s body and necessary biometrics to make remote therapy viable.","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map",https://theratrack.live,Booth:39,https://create-x.gatech.edu/node/3581
ZeraCorp Inc,https://youtu.be/vI5iDSgGOlQ,"Zerapy: Transforming physical therapy and fitness with AI-driven personalized guidance, enhancing recovery and wellness for everyone, anywhere.",Industry:Medical-Health,"North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map",https://zerapy.ai,Booth:40,https://create-x.gatech.edu/node/3582
Surgical Eye,https://youtu.be/vnzHiFa7Rx4,"Empowering surgeons to save more lives through advanced, real-time tool tracking technology, dramatically reducing human error in the operating room.","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map",,Booth:41,https://create-x.gatech.edu/node/3583
CerviCare,https://youtu.be/lBa3OMShnrQ,"At CerviCare, we're driving an innovation in neck health management with our multi-functional, smart, data-tracking neck brace. While providing robust support to the cervical spine of post-operative patients, our advanced design also helps them manage a healthy lifestyle. We provide an all-in-one cost-effective solution for both healthcare providers and patients to enhance post-operative recovery.","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map","North AvenueAtlanta, GA 30332+1 404.894.2000Campus Map",https://cervicarehealth.com,Booth:42,https://create-x.gatech.edu/node/3584
